"";"code_departement";"date_observation"
"1";"09";"2026-07-06"
"2";"11";"2026-06-25"
"3";"12";"2026-06-25"
"4";"30";"2026-06-22"
"5";"31";"2026-06-25"
"6";"32";"2026-07-07"
"7";"34";"2026-06-28"
"8";"46";"2026-07-06"
"9";"48";"2026-06-25"
"10";"65";"2026-07-01"
"11";"66";"2026-06-26"
"12";"81";"2026-06-27"
"13";"82";"2026-06-22"
